gRNA-sequence,Counts-K,Fraction-K,Counts-SK,Fraction-SK,Counts-TK,Fraction-TK,GrowthRate-SK,GrowthRateError,BindingEnergy-SK,GrowthRate-TK
f_136-f_139,13452.0,0.004392713555368045,521.0,0.00013987936545779752,10507.0,0.007238918054924008,-0.1510091535216899,0.03618151247705043,0.0010005003335835344,-0.07318994355686878
r_137-f_133,13427.0,0.004384549874214,122.0,3.275486100931151e-05,11118.0,0.007659873506676036,-0.47986895546956154,0.04242695107982286,0.0010005003335835344,-0.09194754165515258
f_123-f_142,12923.0,0.004219970062148472,846.0,0.00022713616732686505,959.0,0.0006607140396566216,-0.03195375474183295,0.03609194398010759,0.0010005003335835344,0.683035380964426
f_134-f_132,12835.0,0.004191233904486237,149.0,4.000388762612635e-05,10860.0,0.00748212145012608,-0.42429409329557943,0.040841556177138506,0.0010005003335835344,-0.09889127278931713
f_137-f_140,12710.0,0.004150415498716017,182.0,4.886380904667783e-05,9875.0,0.006803494412522563,-0.3766964908605831,0.0394774140878758,0.0010005003335835344,-0.07148822389412193
f_139-f_136,12633.0,0.00412527136076156,348.0,9.343189861672463e-05,11417.0,0.007865872983065327,-0.22829416381318157,0.036818734974478746,0.0010005003335835344,-0.1200573907647517
f_133-f_135,12569.0,0.004104372337007208,267.0,7.16848187662801e-05,8572.0,0.005905777630799333,-0.287239077113946,0.0376662088723992,0.0010005003335835344,-0.029609461082839603
r_147-r_150,12407.0,0.004051471683129002,125.0,3.3560308411179825e-05,10723.0,0.007387733730175134,-0.456438530275013,0.042232623013729924,0.0010005003335835344,-0.10570872433272654
r_149-r_148,12373.0,0.004040369076759502,97.0,2.6042799327075543e-05,10234.0,0.007050831576481612,-0.5133383765664975,0.044565691239013876,0.0010005003335835344,-0.09159446093742489
r_147-f_137,12205.0,0.003985509139404326,153.0,4.1077817495284106e-05,10396.0,0.0071624433329199565,-0.40686935980963324,0.040649267386132774,0.0010005003335835344,-0.10103257796113159
r_136-f_138,12111.0,0.00395481369826512,172.0,4.617898437378344e-05,9247.0,0.006370826615959104,-0.37856486835109937,0.039822761137033785,0.0010005003335835344,-0.06588760737361256
f_132-f_143,12007.0,0.003920852784664296,127.0,3.40972733457587e-05,9610.0,0.0066209196257561356,-0.44540499652638477,0.042094694464420025,0.0010005003335835344,-0.08102934420611252
f_131-r_149,11742.0,0.003834317764431429,207.0,5.557587072891379e-05,5669.0,0.0039057225138825736,-0.32953394727782065,0.03876740965851239,0.0010005003335835344,0.08136944052109864
r_151-f_134,11255.0,0.00367528925555065,316.0,8.48404596634626e-05,9682.0,0.006670524850839844,-0.22397557233220614,0.03707945741203048,0.0010005003335835344,-0.10420702145573789
r_148-f_133,11185.0,0.0036524309483193266,100.0,2.684824672894386e-05,9353.0,0.006443856530665674,-0.48353365809605986,0.04426774590650927,0.0010005003335835344,-0.0951043586988737
r_147-r_153,10994.0,0.00359006042430243,60.0,1.6108948037366315e-05,8772.0,0.006043569922698524,-0.5954925855589969,0.04951326523018528,0.0010005003335835344,-0.08003361661496429
f_142-f_123,10984.0,0.0035867949518408123,88.0,2.3626457121470597e-05,9842.0,0.006780758684359197,-0.5084157285031546,0.04548950339390864,0.0010005003335835344,-0.11730345285700129
r_151-f_131,10841.0,0.0035400986956396797,6514.0,0.0017488947919234031,6235.0,0.004295674699957284,0.4708759774700567,0.03614772888073158,0.6365324274757237,0.025144501596430894
f_131-f_137,10443.0,0.003410132891667298,197.0,5.28910460560194e-05,3459.0,0.002383117688396511,-0.31417249230266114,0.03900954631703615,0.0010005003335835344,0.20242559120412124
