gRNA-sequence,Counts-K,Fraction-K,Counts-SK,Fraction-SK,GrowthRate-SK,BindingEnergy-SK
27-68,123.0,0.0010562563869161608,307.0,0.0010562563869161608,0.9827259440256606,4.0585495577484085
33-82,121.0,0.001039081486315898,337.0,0.001039081486315898,1.0414394220814538,5.298317366548035
100-0,119.0,0.0010219065857156352,276.0,0.0010219065857156352,0.9434229425835995,2.8721517219478874
17-75,119.0,0.0010219065857156352,271.0,0.0010219065857156352,0.9336317147933896,2.712535969033018
17-76,117.0,0.0010047316851153724,158.0,0.0010047316851153724,0.6537591204417762,1.0606205624535776
106-0,115.0,0.0009875567845151097,277.0,0.0009875567845151097,0.9636715960946756,3.3151553669559464
56-0,114.0,0.0009789693342149783,278.0,0.0009789693342149783,0.9702790184605115,3.515902033450189
13-76,106.0,0.0009102697318139272,223.0,0.0009102697318139272,0.8911813941416513,2.218072949453322
40-61,106.0,0.0009102697318139272,394.0,0.0009102697318139272,1.1960139575423068,5.298317366548035
31-72,102.0,0.0008759199306134016,217.0,0.0008759199306134016,0.8971753669223055,2.274730333287338
35-69,101.0,0.0008673324803132702,308.0,0.0008673324803132702,1.0900081637642278,5.298317366548035
92-0,99.0,0.0008501575797130075,234.0,0.0008501575797130075,0.9535579217362475,3.0695493715656452
17-78,99.0,0.0008501575797130075,235.0,0.0008501575797130075,0.9558417855095698,3.119976310565545
13-60,97.0,0.0008329826791127447,286.0,0.0008329826791127447,1.0719604538609908,5.298317366548035
21-66,93.0,0.0007986328779122191,255.0,0.0007986328779122191,1.0330694302505943,5.298317366548035
31-94,92.0,0.0007900454276120877,234.0,0.0007900454276120877,0.9928316028430754,4.938073197907385
15-80,90.0,0.000772870527011825,262.0,0.000772870527011825,1.0651341398675254,5.298317366548035
31-78,90.0,0.000772870527011825,210.0,0.000772870527011825,0.9466473065867391,2.9308308167868824
24-0,88.0,0.0007556956264115622,201.0,0.0007556956264115622,0.9352238248389491,2.736817410497822
19-94,87.0,0.0007471081761114308,221.0,0.0007471081761114308,0.9921471743240665,4.8468818532397755
6-80,86.0,0.0007385207258112994,160.0,0.0007385207258112994,0.8253571275403013,1.745012118984631
27-64,85.0,0.000729933275511168,189.0,0.000729933275511168,0.9208319362021873,2.5361822963589034
21-49,84.0,0.0007213458252110366,201.0,0.0007213458252110366,0.9601383283277676,3.222340026486008
17-66,84.0,0.0007213458252110366,269.0,0.0007213458252110366,1.116205506139953,5.298317366548035
86-0,84.0,0.0007213458252110366,241.0,0.0007213458252110366,1.0573391490733264,5.298317366548035
29-77,84.0,0.0007213458252110366,249.0,0.0007213458252110366,1.074828547826613,5.298317366548035
27-71,81.0,0.0006955834743106425,165.0,0.0006955834743106425,0.8739167211641367,2.070812647215609
41-88,80.0,0.0006869960240105111,244.0,0.0006869960240105111,1.090095099117594,5.298317366548035
99-0,80.0,0.0006869960240105111,208.0,0.0006869960240105111,1.0046027413659655,5.298317366548035
19-64,80.0,0.0006869960240105111,308.0,0.0006869960240105111,1.214845145463896,5.298317366548035
88-0,79.0,0.0006784085737103797,166.0,0.0006784085737103797,0.8905426032722967,2.212219876413212
11-86,79.0,0.0006784085737103797,172.0,0.0006784085737103797,0.9095587515122071,2.403054827070206
27-62,77.0,0.0006612336731101169,164.0,0.0006612336731101169,0.8977840184590273,2.280667238281565
37-66,76.0,0.0006526462228099855,154.0,0.0006526462228099855,0.8710905127943558,2.048644770460377
17-94,76.0,0.0006526462228099855,180.0,0.0006526462228099855,0.9546409660754803,3.0931459177497698
25-71,76.0,0.0006526462228099855,188.0,0.0006526462228099855,0.9779300806286074,3.81353971203269
31-87,73.0,0.0006268838719095914,206.0,0.0006268838719095914,1.048468363971269,5.298317366548035
17-59,70.0,0.0006011215210091972,127.0,0.0006011215210091972,0.8118958694399934,1.670759583532914
19-72,70.0,0.0006011215210091972,247.0,0.0006011215210091972,1.1681545387874885,5.298317366548035
13-68,69.0,0.0005925340707090658,137.0,0.0005925340707090658,0.8601945231310714,1.9675032734910876
13-91,69.0,0.0005925340707090658,152.0,0.0005925340707090658,0.9158395350090328,2.4750300049252156
29-72,69.0,0.0005925340707090658,171.0,0.0005925340707090658,0.9789200351493539,3.8594322227370204
102-0,67.0,0.000575359170108803,177.0,0.000575359170108803,1.0131426870101787,5.298317366548035
104-0,67.0,0.000575359170108803,151.0,0.000575359170108803,0.9280574926452695,2.631887987906255
25-70,66.0,0.0005667717198086716,158.0,0.0005667717198086716,0.9603805011753196,3.228433887345489
25-60,64.0,0.0005495968192084089,119.0,0.0005495968192084089,0.8250432278087978,1.7432163516223858
91-0,64.0,0.0005495968192084089,210.0,0.0005495968192084089,1.129235737063078,5.298317366548035
85-0,64.0,0.0005495968192084089,159.0,0.0005495968192084089,0.9802397037675422,3.924080595253644
17-69,63.0,0.0005410093689082775,180.0,0.0005410093689082775,1.0551122633566818,5.298317366548035
27-66,63.0,0.0005410093689082775,217.0,0.0005410093689082775,1.1552310991291208,5.298317366548035
14-0,63.0,0.0005410093689082775,182.0,0.0005410093689082775,1.0610301715616621,5.298317366548035
19-67,63.0,0.0005410093689082775,171.0,0.0005410093689082775,1.0276413576716656,5.298317366548035
23-61,63.0,0.0005410093689082775,176.0,0.0005410093689082775,1.0430765828460788,5.298317366548035
27-57,62.0,0.0005324219186081461,126.0,0.0005324219186081461,0.8726587869551999,2.060885078407532
93-0,62.0,0.0005324219186081461,185.0,0.0005324219186081461,1.0783554283371986,5.298317366548035
19-78,62.0,0.0005324219186081461,172.0,0.0005324219186081461,1.0393334226312592,5.298317366548035
37-90,61.0,0.0005238344683080147,143.0,0.0005238344683080147,0.9491499524642505,2.9788742216650057
25-56,60.0,0.0005152470180078833,169.0,0.0005152470180078833,1.0474708335703675,5.298317366548035
11-66,60.0,0.0005152470180078833,171.0,0.0005152470180078833,1.0537716738125653,5.298317366548035
29-83,60.0,0.0005152470180078833,116.0,0.0005152470180078833,0.8459330674808974,1.8703681442439348
25-65,60.0,0.0005152470180078833,185.0,0.0005152470180078833,1.095916517773041,5.298317366548035
19-86,60.0,0.0005152470180078833,138.0,0.0005152470180078833,0.9389411989133543,2.7959179268723386
15-72,60.0,0.0005152470180078833,131.0,0.0005152470180078833,0.9110616207604079,2.4198115171419485
31-70,59.0,0.0005066595677077519,170.0,0.0005066595677077519,1.0596318280956365,5.298317366548035
13-55,59.0,0.0005066595677077519,162.0,0.0005066595677077519,1.0338164577110849,5.298317366548035
96-0,58.0,0.0004980721174076205,147.0,0.0004980721174076205,0.9909341154968844,4.7032368661083135
33-63,58.0,0.0004980721174076205,140.0,0.0004980721174076205,0.9648037993559847,3.3468171384531873
21-76,58.0,0.0004980721174076205,220.0,0.0004980721174076205,1.2068713220922418,5.298317366548035
37-74,57.0,0.0004894846671074891,133.0,0.0004894846671074891,0.9466473065867391,2.9308308167868824
17-68,57.0,0.0004894846671074891,246.0,0.0004894846671074891,1.2760105093577963,5.298317366548035
13-46,57.0,0.0004894846671074891,85.0,0.0004894846671074891,0.7068758870168967,1.2271591658566086
18-0,56.0,0.00048089721680735775,116.0,0.00048089721680735775,0.8828832514803189,2.1445839911107805
31-86,56.0,0.00048089721680735775,164.0,0.00048089721680735775,1.068336768424763,5.298317366548035
17-74,56.0,0.00048089721680735775,119.0,0.00048089721680735775,0.8965580005793192,2.268744215425753
25-78,55.0,0.00047230976650722636,127.0,0.00047230976650722636,0.9410538850582923,2.8311315584672725
17-82,55.0,0.00047230976650722636,127.0,0.00047230976650722636,0.9410538850582923,2.8311315584672725
29-78,55.0,0.00047230976650722636,95.0,0.00047230976650722636,0.7855738349354086,1.539789818684053
25-74,54.0,0.000463722316207095,163.0,0.000463722316207095,1.0845383760107619,5.298317366548035
11-77,54.0,0.000463722316207095,133.0,0.000463722316207095,0.9756038310974194,3.7133291712000065
90-0,53.0,0.0004551348659069636,111.0,0.0004551348659069636,0.8887743552888453,2.196194305847809
23-74,52.0,0.0004465474156068322,124.0,0.0004465474156068322,0.9582904878176013,3.177026066300829
31-90,52.0,0.0004465474156068322,139.0,0.0004465474156068322,1.019447950907111,5.298317366548035
19-66,52.0,0.0004465474156068322,181.0,0.0004465474156068322,1.1608495456796322,5.298317366548035
33-66,51.0,0.0004379599653067008,121.0,0.0004379599653067008,0.9555736006049995,3.1139214052687074
29-60,51.0,0.0004379599653067008,197.0,0.0004379599653067008,1.2166151605902085,5.298317366548035
15-71,50.0,0.0004293725150065694,124.0,0.0004293725150065694,0.9792957385974064,3.877415735038481
29-74,49.0,0.00042078506470643803,95.0,0.00042078506470643803,0.8474385224236487,1.8801876325221967
89-0,48.0,0.00041219761440630664,142.0,0.00041219761440630664,1.07375203441243,5.298317366548035
21-78,47.0,0.00040361016410617526,86.0,0.00040361016410617526,0.8164523782665359,1.695281126173283
21-63,46.0,0.00039502271380604387,131.0,0.00039502271380604387,1.0533630013446351,5.298317366548035
19-98,46.0,0.00039502271380604387,123.0,0.00039502271380604387,1.0196154459024513,5.298317366548035
6-73,46.0,0.00039502271380604387,163.0,0.00039502271380604387,1.1704123263992925,5.298317366548035
27-80,45.0,0.0003864352635059125,159.0,0.0003864352635059125,1.1688768116457595,5.298317366548035
7-59,45.0,0.0003864352635059125,92.0,0.0003864352635059125,0.8758606987730331,2.086350946923646
15-68,45.0,0.0003864352635059125,151.0,0.0003864352635059125,1.14122859583059,5.298317366548035
25-90,45.0,0.0003864352635059125,129.0,0.0003864352635059125,1.0568945120671018,5.298317366548035
9-90,44.0,0.0003778478132057811,94.0,0.0003778478132057811,0.8994143553138731,2.2967457284556674
25-80,44.0,0.0003778478132057811,100.0,0.0003778478132057811,0.9325526709564425,2.6964082961701443
21-70,43.0,0.0003692603629056497,149.0,0.0003692603629056497,1.1584356875577773,5.298317366548035
25-66,43.0,0.0003692603629056497,135.0,0.0003692603629056497,1.1055906469280612,5.298317366548035
27-77,43.0,0.0003692603629056497,59.0,0.0003692603629056497,0.6622833000239842,1.085547900707864
21-81,43.0,0.0003692603629056497,103.0,0.0003692603629056497,0.9606957249885607,3.2364219871058886
35-96,43.0,0.0003692603629056497,118.0,0.0003692603629056497,1.0335088383785405,5.298317366548035
33-112,43.0,0.0003692603629056497,138.0,0.0003692603629056497,1.1173617854509517,5.298317366548035
23-72,42.0,0.0003606729126055183,90.0,0.0003606729126055183,0.9010397442495645,2.3130369665193165
25-64,42.0,0.0003606729126055183,147.0,0.0003606729126055183,1.1638003258341778,5.298317366548035
27-78,42.0,0.0003606729126055183,175.0,0.0003606729126055183,1.257177940029296,5.298317366548035
33-80,41.0,0.0003520854623053869,84.0,0.0003520854623053869,0.8769953713229613,2.095533292797128
40-84,41.0,0.0003520854623053869,98.0,0.0003520854623053869,0.9595531176595575,3.2077657128499375
23-65,41.0,0.0003520854623053869,100.0,0.0003520854623053869,0.9703729855180795,3.5190686824489736
15-78,40.0,0.00034349801200525554,79.0,0.00034349801200525554,0.85735280169792,1.9473808418794707
25-77,40.0,0.00034349801200525554,105.0,0.00034349801200525554,1.00972780672706,5.298317366548035
19-96,40.0,0.00034349801200525554,83.0,0.00034349801200525554,0.8838058447200738,2.152492734625169
33-77,40.0,0.00034349801200525554,146.0,0.00034349801200525554,1.186274892331832,5.298317366548035
13-62,39.0,0.00033491056170512415,66.0,0.00033491056170512415,0.7746211987640381,1.4899727313292896
33-99,39.0,0.00033491056170512415,152.0,0.00033491056170512415,1.2214035309109776,5.298317366548035
94-0,39.0,0.00033491056170512415,93.0,0.00033491056170512415,0.9582904878176013,3.177026066300829
35-78,39.0,0.00033491056170512415,123.0,0.00033491056170512415,1.1080264225569574,5.298317366548035
